,Ahlgren Scott D.,Albin Pierre,Balogh József,Baryshnikov Yuliy M.,Berwick-Evans Daniel,Boca Florin-Petre,Bradlow Steven Benjamin,Bronski Jared C.,Cooney Daniel B.,De Ville R E Lee,Dey Partha Sarathi,Di Francesco Philippe,Dodd Christopher,Dunfield Nathan M.,Dutta Sankar Prasad,Duursma Iwan Maynard,Erdoğan Mehmet Burak,Fadina Tolulope,Feng Runhuan,Fernandes Rui Loja,Ford Kevin B.,Guzman Rosemary K.,Haboush William J.,Heller Jeremiah Ben,Hinkkanen Aimo,Hirani Anil N.,Hung Pei-Ken,Hur Vera Mikyoung,Ivanov Sergei Vladimirovich,Janda Felix,Jing Xiaochen,Junge Marius,Katz Sheldon H.,Kedem Rinat,Kerman Ely,Kirkpatrick Kay Lene,Kirr Eduard,Kostochka Alexandr V.,Kutzarova Denka N.,La Nave Gabriele,Laugesen Richard Snyder,Leditzky Felix,Lerman Eugene M.,Liu Yuan,Li Xiaochun,Mc Carthy Randy,Mineyev Igor,Nikolaev Igor G.,Oikhberg Timur,Pascaleff James Thomas,Quan Zhiyu,Rapti Zoi,Rasmussen Jacob,Rasmussen Sarah Dean,Rezk Charles W.,Reznick Bruce,Song Renming,Sowers Richard B.,Stojanoska Vesna,Thorner Jesse,Tolman Susan,Tumanov Alexander,Tyson Jeremy T.,Tzirakis Nikolaos,Wei Wei,Wu Xuan,Yong Alexander T F.,Young Amanda,Zaharescu Alexandru,Zharnitsky Vadim
Dey Partha Sarathi,0,2,2,2,1,1,0,1,0,1,9,1,0,1,1,2,0,0,2,1,1,1,1,1,0,1,2,1,0,1,0,2,0,0,1,3,2,0,1,1,1,0,0,1,0,1,0,1,0,2,0,1,1,1,1,0,2,3,1,0,0,1,0,0,0,0,1,2,0,0
Di Francesco Philippe,4,2,4,5,2,3,2,4,0,3,1,27,1,0,0,1,4,0,0,6,2,0,0,0,1,0,1,4,3,2,0,5,3,11,1,3,1,3,1,3,2,4,5,1,2,0,1,1,3,0,0,1,1,2,0,2,3,1,0,2,5,1,2,1,0,0,6,4,4,4
Dodd Christopher,2,1,2,2,1,1,2,1,0,1,0,1,6,1,0,0,2,0,0,2,2,0,1,1,1,0,0,2,2,2,0,2,2,2,2,0,0,1,1,1,1,0,2,0,1,2,2,0,1,1,0,0,1,0,1,1,1,1,1,2,3,1,1,2,0,0,2,0,3,1
Dunfield Nathan M.,4,1,3,2,4,3,2,1,0,0,1,0,1,15,5,2,2,0,1,3,4,1,4,5,2,1,2,1,3,3,0,5,3,0,3,3,1,1,2,2,3,0,5,1,2,4,2,1,2,2,0,1,7,1,5,4,2,4,5,2,5,2,3,3,0,0,5,1,5,2
Dutta Sankar Prasad,4,1,4,1,2,3,3,0,0,0,1,0,0,5,15,3,2,0,1,4,6,2,5,7,6,2,2,0,6,2,0,5,3,1,2,2,1,2,2,2,5,0,2,1,2,3,3,2,3,1,0,1,1,1,6,6,3,3,5,1,1,3,5,2,0,0,4,1,9,0
Duursma Iwan Maynard,3,2,5,1,2,2,0,0,0,0,2,1,0,2,3,17,1,0,3,3,2,1,2,2,2,2,1,1,2,1,0,2,1,0,3,1,1,4,2,1,1,1,1,1,1,3,1,1,0,2,0,1,2,1,2,3,2,1,3,1,0,1,1,1,0,0,5,1,5,0
Erdoğan Mehmet Burak,9,4,7,8,2,7,4,9,0,5,0,4,2,2,2,1,41,0,1,9,8,0,1,1,5,0,1,13,4,2,0,11,8,6,2,4,3,1,7,3,9,1,9,1,8,2,2,0,5,0,0,3,2,2,2,5,11,5,2,7,5,9,11,18,0,0,9,1,12,8
Fadina Tolulope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feng Runhuan,1,2,0,1,1,1,0,0,0,0,2,0,0,1,1,3,1,0,17,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,2,1,1,0,0,1,0,1,0,1,1,2,0,1,1,1,1,0,5,3,1,0,0,1,0,0,2,0,1,1,1,0
Fernandes Rui Loja,9,4,5,5,4,9,6,2,0,1,1,6,2,3,4,3,9,0,1,30,7,0,2,4,5,0,2,7,5,3,0,11,8,6,5,3,1,2,4,4,6,3,10,2,5,2,3,0,2,1,0,1,1,1,4,7,6,3,3,4,9,4,6,5,0,0,10,1,10,3
Ford Kevin B.,17,4,13,9,1,15,7,1,0,2,1,2,2,4,6,2,8,0,0,7,52,0,2,4,11,0,1,4,9,3,0,15,4,3,4,0,0,5,6,3,8,0,8,2,6,3,4,1,5,1,0,0,3,0,4,10,10,6,3,9,4,5,11,4,0,1,10,0,27,1
Guzman Rosemary K.,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,3,1,2,0,2,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Haboush William J.,2,1,1,0,2,1,2,1,0,0,1,0,1,4,5,2,1,0,1,2,2,1,11,4,1,1,2,0,3,2,0,3,1,1,1,2,1,0,1,2,1,0,2,1,2,4,0,1,0,1,0,1,2,1,4,2,2,1,3,1,0,0,1,1,0,0,3,1,4,0
