,Unnamed: 0,"Boca, Florin P.","Baryshnikov, Yuliy","Ahlgren, Scott","Albin, Pierre","Balogh, József","Biswas, Indranil","Barthel, Tobias","Bronski, Jared C.","Cooney, Daniel B.","Dey, Partha S.","Nijholt, Eddie","Di Francesco, Philippe","Cautis, Sabin","Dutta, S. P.","Erdoğan, M. Burak","Bellini, Fabio","Loja Fernandes, Rui","Ford, Kevin","Duursma, Iwan","Balaji, Vikraman","Gepner, David","Guzman, R. K.","Hinkkanen, Aimo","Choi, Beomjun","Wang, Minmiao","Feng, Runhuan","Hur, Vera Mikyoung","Ivanov, S. V.","Dunfield, Nathan M.","Kerman, Ely","Clader, Emily","Kirkpatrick, Kay","Lee, Kiryung","Kirr, E.","Katz, Sheldon","Kim, Jaehoon","Fan, Cunwei","Freitas, Pedro","Berwick-Evans, Daniel","Chen, Xuezhi","Ford, K.","Leditzky, Felix","Bauer, Kristine","Lam, Yeuk Hay Joshua","Yu, Haizi","Berg, I. D.","Quan, Zhiyu","Helemskii, A. Ya.","Rapti, Z.","Pascaleff, James","Hanselman, Jonathan","Rasmussen, Sarah Dean","Bergner, Julia E.","Matusevich, Laura Felicia","Matin, Hossein Nick Zinat","Panidapu, Apoorva","Ren, Yan-Xia","Beaudry, Agnès","Jang, Donghoon","Chrontsios Garitsis, Efstathios K.","Tumanov, Alexander","Chi, Yichun","Wu, Xuan","Hodges, Reuven","Lucia, Angelo","Erdoğan, M. B.","Wayne, C. E.","Basak, Debmalya"
20,"Gepner, David",1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.002702702702702703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.07692307692307693,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,1.0,0.047619047619047616,0.5,1.0,1.0,1.0,0.023255813953488372,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25
21,"Guzman, R. K.",1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,1.0,0.5,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
22,"Hinkkanen, Aimo",1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,1.0,0.2,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.002631578947368421,1.0,1.0,1.0,0.3333333333333333,0.25,0.16666666666666666,1.0,1.0,1.0,0.07692307692307693,1.0,0.5,1.0,0.5,0.09090909090909091,1.0,0.5,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,1.0,0.037037037037037035,0.2,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333
23,"Choi, Beomjun",1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.005780346820809248,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.2,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
24,"Wang, Minmiao",1.0,0.25,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004672897196261682,1.0,0.5,0.5,0.25,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.037037037037037035,1.0
25,"Feng, Runhuan",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0196078431372549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
26,"Hur, Vera Mikyoung",0.5,0.25,1.0,0.25,1.0,1.0,1.0,0.01098901098901099,1.0,1.0,0.2,1.0,1.0,1.0,0.043478260869565216,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.001422475106685633,1.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0.5,0.1,1.0,1.0,0.5,0.09090909090909091,0.5,0.2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.09090909090909091,0.5,1.0,1.0,1.0,1.0,0.25,1.0,0.125,1.0,1.0,0.5,0.2,1.0,0.5,1.0,1.0,0.0625,0.07692307692307693,0.3333333333333333
27,"Ivanov, S. V.",1.0,1.0,1.0,0.5,0.2,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,1.0,0.002785515320334262,0.07142857142857142,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.038461538461538464,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
28,"Dunfield, Nathan M.",0.5,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,1.0,0.5,0.3333333333333333,0.16666666666666666,0.5,0.25,1.0,1.0,0.07142857142857142,0.0014641288433382138,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,0.25,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.2,0.125,1.0,1.0,1.0,1.0,1.0,0.014285714285714285,0.04,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.1111111111111111
29,"Kerman, Ely",1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.003401360544217687,0.5,1.0,0.125,1.0,0.25,1.0,0.5,0.5,0.07692307692307693,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.058823529411764705,0.25,0.125,1.0,0.5,1.0,1.0,1.0,1.0,0.5
